id,nombre,provincia,ccaa,codigo_ine,url_ayuntamiento,url_fuente_noticias,tipo_fuente,latitud,longitud,created_at
9072,Fresno de la Fuente,Segovia,Castilla y León,,https://www.fresnodelafuente.es,,,,,
9073,Frumales,Segovia,Castilla y León,,https://www.frumales.es,,,,,
9074,Fuente de Santa Cruz,Segovia,Castilla y León,,https://www.fuentedesantacruz.es,,,,,
9075,Fuente el Olmo de Fuentidueña,Segovia,Castilla y León,,https://www.fuenteelolmodefuentiduena.es,,,,,
9076,Fuente el Olmo de Íscar,Segovia,Castilla y León,,https://www.fuenteelolmodeiscar.es,,,,,
9077,Fuentepelayo,Segovia,Castilla y León,,https://www.fuentepelayo.es,,,,,
9078,Fuentepiñel,Segovia,Castilla y León,,https://www.fuentepinel.es,,,,,
9079,Fuenterrebollo,Segovia,Castilla y León,,https://www.fuenterrebollo.es,,,,,
9080,Fuentesaúco de Fuentidueña,Segovia,Castilla y León,,https://www.fuentesaucodefuentiduena.es,,,,,
9081,Fuentesoto,Segovia,Castilla y León,,https://www.fuentesoto.es,,,,,
9082,Fuentidueña,Segovia,Castilla y León,,https://www.fuentiduena.es,,,,,
9083,Gallegos,Segovia,Castilla y León,,https://www.gallegos.es,,,,,
9084,Garcillán,Segovia,Castilla y León,,https://www.garcillan.es,,,,,
9085,Gomezserracín,Segovia,Castilla y León,,https://www.gomezserracin.es,,,,,
9086,Grajera,Segovia,Castilla y León,,https://www.grajera.com,,,,,
9087,Honrubia de la Cuesta,Segovia,Castilla y León,,https://www.honrubiadelacuesta.es,,,,,
9088,Hontalbilla,Segovia,Castilla y León,,https://www.hontalbilla.es,,,,,
9089,Hontanares de Eresma,Segovia,Castilla y León,,https://www.hontanaresdeeresma.es,,,,,
9090,Ituero y Lama,Segovia,Castilla y León,,https://www.itueroylama.es,,,,,
9091,Juarros de Riomoros,Segovia,Castilla y León,,https://www.juarrosderiomoros.es,,,,,
9092,Juarros de Voltoya,Segovia,Castilla y León,,https://www.juarrosdevoltoya.es,,,,,
9093,La Lastrilla,Segovia,Castilla y León,,https://www.lalastrilla.es,,,,,
9094,La Losa,Segovia,Castilla y León,,https://www.lalosa.es,,,,,
9095,La Matilla,Segovia,Castilla y León,,https://www.lamatilla.es,,,,,
9096,Labajos,Segovia,Castilla y León,,https://www.labajos.es,,,,,
9097,Laguna de Contreras,Segovia,Castilla y León,,https://www.lagunadecontreras.es,,,,,
9098,Languilla,Segovia,Castilla y León,,https://www.languilla.es,,,,,
9099,Lastras de Cuéllar,Segovia,Castilla y León,,https://www.lastrasdecuellar.es,,,,,
9100,Lastras del Pozo,Segovia,Castilla y León,,https://www.lastrasdelpozo.es,,,,,
9101,Los Huertos,Segovia,Castilla y León,,https://www.loshuertos.es,,,,,
9102,Maderuelo,Segovia,Castilla y León,,https://www.maderuelo.es,,,,,
9103,Marazoleja,Segovia,Castilla y León,,https://www.marazoleja.es,,,,,
9104,Marazuela,Segovia,Castilla y León,,https://www.marazuela.es,,,,,
9105,Martín Miguel,Segovia,Castilla y León,,https://www.martinmiguel.es,,,,,
9106,Martín Muñoz de la Dehesa,Segovia,Castilla y León,,https://www.martinmunozdeladehesa.es,,,,,
9107,Martín Muñoz de las Posadas,Segovia,Castilla y León,,https://www.martinmunozdelasposadas.es,,,,,
9108,Marugán,Segovia,Castilla y León,,https://www.marugan.es,,,,,
9109,Mata de Cuéllar,Segovia,Castilla y León,,https://www.matadecuellar.es,,,,,
9110,Matabuena,Segovia,Castilla y León,,https://www.matabuena.es,,,,,
9111,Melque de Cercos,Segovia,Castilla y León,,https://www.melquedecercos.es,,,,,
9112,Membibre de la Hoz,Segovia,Castilla y León,,https://www.membibredelahoz.es,,,,,
9113,Migueláñez,Segovia,Castilla y León,,https://www.ayuntamientodemiguelanez.es,,,,,
9114,Montejo de Arévalo,Segovia,Castilla y León,,https://www.montejodearevalo.es,,,,,
9115,Montejo de la Vega de la Serrezuela,Segovia,Castilla y León,,https://www.montejodelavega.es,,,,,
