id,nombre,provincia,ccaa,codigo_ine,url_ayuntamiento,url_fuente_noticias,tipo_fuente,latitud,longitud,created_at
427,Casillas,Ávila,Castilla y León,05055,https://www.casillas.es,,,40.3256422,-4.5711323,2026-07-28 00:21:28.91664+00
428,Castellanos de Zapardiel,Ávila,Castilla y León,05056,https://www.castellanosdezapardiel.es,,,41.0842432,-4.9095443,2026-07-28 00:21:30.799283+00
429,Cebreros,Ávila,Castilla y León,05057,https://www.cebreros.es,,,40.4551504,-4.4651595,2026-07-28 00:21:32.700694+00
430,Cepeda la Mora,Ávila,Castilla y León,05058,https://www.cepedalamora.es,,,40.4576267,-5.0488492,2026-07-28 00:21:34.580693+00
431,Chamartín,Ávila,Castilla y León,05067,https://www.chamartin.es,,,40.7018688,-4.9570085,2026-07-28 00:21:37.231121+00
432,Cillán,Ávila,Castilla y León,05059,https://www.cillan.es,,,40.7048645,-4.9778296,2026-07-28 00:21:39.257284+00
433,Cisla,Ávila,Castilla y León,05060,https://www.cisla.es,,,40.9657349,-5.0139719,2026-07-28 00:21:40.833299+00
434,"Colilla, La",Ávila,Castilla y León,05061,https://www.lacolilla.es,,,40.6366029,-4.7551269,2026-07-28 00:21:42.377555+00
435,Collado de Contreras,Ávila,Castilla y León,05062,https://www.colladodecontreras.es,,,40.8873215,-4.931254,2026-07-28 00:21:44.327682+00
436,Collado del Mirón,Ávila,Castilla y León,05063,https://www.colladodelmiron.es,,,40.5527439,-5.3535524,2026-07-28 00:21:46.237746+00
437,Constanzana,Ávila,Castilla y León,05064,https://www.constanzana.es,,,40.9383816,-4.8736983,2026-07-28 00:21:47.900194+00
438,Crespos,Ávila,Castilla y León,05065,https://www.crespos.es,,,40.8720548,-4.9702253,2026-07-28 00:21:49.546247+00
439,Cuevas del Valle,Ávila,Castilla y León,05066,https://www.cuevasdelvalle.es,,,40.2940067,-5.0097762,2026-07-28 00:21:51.185288+00
440,Diego del Carpio,Ávila,Castilla y León,05903,https://www.diegodelcarpio.es,,,40.6706,-5.3446168,2026-07-28 00:21:53.101958+00
441,Donjimeno,Ávila,Castilla y León,05069,https://www.donjimeno.es,,,40.9602836,-4.8466502,2026-07-28 00:21:54.688433+00
442,Donvidas,Ávila,Castilla y León,05070,https://www.donvidas.es,,,41.0889123,-4.8058522,2026-07-28 00:21:56.333156+00
443,Espinosa de los Caballeros,Ávila,Castilla y León,05072,https://www.espinosadeloscaballeros.es,,,41.0086883,-4.6539796,2026-07-28 00:21:57.997005+00
444,Flores de Ávila,Ávila,Castilla y León,05073,https://www.floresdeavila.es,,,40.9340634,-5.0799111,2026-07-28 00:21:59.843961+00
